date,load_forecast_mean_mw,load_forecast_max_mw,load_forecast_min_mw
2025-01-12,20136.985833333332,24667.76,14896.59
2025-01-13,22749.451666666664,27223.03,19065.7
2025-01-14,23594.11666666667,27888.46,19770.6
2025-01-15,23357.132500000003,27268.91,19415.95
2025-01-16,23317.23,27187.43,19530.53
2025-01-17,23237.067916666667,26704.6,19991.5
2025-01-18,21450.007916666666,25147.38,16952.71
2025-01-19,20835.672083333335,24984.04,15972.04
2025-01-20,22118.629166666666,26369.74,18003.66
2025-01-21,23635.252500000002,27748.99,19677.04
2025-01-22,23263.382083333334,27333.5,19293.19
2025-01-23,23119.3625,27221.75,18749.13
2025-01-24,22962.6775,26449.8,19329.99
2025-01-25,21368.744166666667,24940.08,17734.25
2025-01-26,21837.499166666665,25723.08,19613.81
2025-01-27,23575.88333333333,27945.29,20264.6
2025-01-28,23860.782916666667,28182.87,19709.39
2025-01-29,23629.142083333336,27733.87,19640.11
2025-01-30,23776.263333333332,27763.16,20283.82
2025-01-31,24064.089583333334,27248.95,21175.69
2025-02-01,22072.654583333333,25513.6,19649.13
2025-02-02,20682.815833333334,24903.62,17420.25
2025-02-03,23078.951666666664,27282.84,19069.35
2025-02-04,23707.312083333334,27528.91,19708.31
2025-02-05,23386.448333333334,27226.07,20065.21
2025-02-06,24784.752500000002,28024.63,20851.21
2025-02-07,23476.60375,26684.96,20052.98
2025-02-08,21097.518333333333,24782.44,16581.61
2025-02-09,19892.263333333332,24209.08,14441.1
2025-02-10,22157.648750000004,26962.11,17386.26
2025-02-11,23237.118749999998,27404.18,19187.16
2025-02-12,24905.3425,27850.03,21523.82
2025-02-13,24959.695416666666,27909.26,21035.03
2025-02-14,23393.115416666667,27155.54,20641.12
2025-02-15,20882.296666666665,24633.66,15872.04
2025-02-16,20281.835,24296.09,16229.77
2025-02-17,21473.1175,25961.14,17476.39
2025-02-18,21970.982083333336,26615.31,17873.84
2025-02-19,22204.5425,26717.27,19120.6
2025-02-20,21527.350416666668,26255.51,16910.45
